1944-10-01,1944-11-16
1944-10-02,1944-11-17
1944-10-03,1944-11-18
1944-10-04,1944-11-19
1944-10-05,1944-11-20
1944-10-06,1944-11-21
1944-10-07,1944-11-22
1944-10-08,1944-11-23
1944-10-09,1944-11-24
1944-10-10,1944-11-25
1944-10-11,1944-11-26
1944-10-12,1944-11-27
1944-10-13,1944-11-28
1944-10-14,1944-11-29
1944-10-15,1944-11-30
1944-10-16,1944-12-01
1944-10-17,1944-12-02
1944-10-18,1944-12-03
1944-10-19,1944-12-04
1944-10-20,1944-12-05
1944-10-21,1944-12-06
1944-10-22,1944-12-07
1944-10-23,1944-12-08
1944-10-24,1944-12-09
1944-10-25,1944-12-10
1944-10-26,1944-12-11
1944-10-27,1944-12-12
1944-10-28,1944-12-13
1944-10-29,1944-12-14
