2012-09-01 (토),2012-07-15,임진(壬辰)년 무신(戊申)월 을축(乙丑)일
2012-09-02 (일),2012-07-16,임진(壬辰)년 무신(戊申)월 병인(丙寅)일
2012-09-03 (월),2012-07-17,임진(壬辰)년 무신(戊申)월 정묘(丁卯)일
2012-09-04 (화),2012-07-18,임진(壬辰)년 무신(戊申)월 무진(戊辰)일
2012-09-05 (수),2012-07-19,임진(壬辰)년 무신(戊申)월 기사(己巳)일
2012-09-06 (목),2012-07-20,임진(壬辰)년 무신(戊申)월 경오(庚午)일
2012-09-07 (금),2012-07-21,임진(壬辰)년 무신(戊申)월 신미(辛未)일
2012-09-08 (토),2012-07-22,임진(壬辰)년 무신(戊申)월 임신(壬申)일
2012-09-09 (일),2012-07-23,임진(壬辰)년 무신(戊申)월 계유(癸酉)일
2012-09-10 (월),2012-07-24,임진(壬辰)년 무신(戊申)월 갑술(甲戌)일
2012-09-11 (화),2012-07-25,임진(壬辰)년 무신(戊申)월 을해(乙亥)일
2012-09-12 (수),2012-07-26,임진(壬辰)년 무신(戊申)월 병자(丙子)일
2012-09-13 (목),2012-07-27,임진(壬辰)년 무신(戊申)월 정축(丁丑)일
2012-09-14 (금),2012-07-28,임진(壬辰)년 무신(戊申)월 무인(戊寅)일
2012-09-15 (토),2012-07-29,임진(壬辰)년 무신(戊申)월 기묘(己卯)일
2012-09-16 (일),2012-08-01,임진(壬辰)년 기유(己酉)월 경진(庚辰)일
2012-09-17 (월),2012-08-02,임진(壬辰)년 기유(己酉)월 신사(辛巳)일
2012-09-18 (화),2012-08-03,임진(壬辰)년 기유(己酉)월 임오(壬午)일
2012-09-19 (수),2012-08-04,임진(壬辰)년 기유(己酉)월 계미(癸未)일
2012-09-20 (목),2012-08-05,임진(壬辰)년 기유(己酉)월 갑신(甲申)일
2012-09-21 (금),2012-08-06,임진(壬辰)년 기유(己酉)월 을유(乙酉)일
2012-09-22 (토),2012-08-07,임진(壬辰)년 기유(己酉)월 병술(丙戌)일
2012-09-23 (일),2012-08-08,임진(壬辰)년 기유(己酉)월 정해(丁亥)일
2012-09-24 (월),2012-08-09,임진(壬辰)년 기유(己酉)월 무자(戊子)일
2012-09-25 (화),2012-08-10,임진(壬辰)년 기유(己酉)월 기축(己丑)일
2012-09-26 (수),2012-08-11,임진(壬辰)년 기유(己酉)월 경인(庚寅)일
2012-09-27 (목),2012-08-12,임진(壬辰)년 기유(己酉)월 신묘(辛卯)일
2012-09-28 (금),2012-08-13,임진(壬辰)년 기유(己酉)월 임진(壬辰)일
2012-09-29 (토),2012-08-14,임진(壬辰)년 기유(己酉)월 계사(癸巳)일
2012-09-30 (일),2012-08-15,임진(壬辰)년 기유(己酉)월 갑오(甲午)일
